system   D            wsystem.c:583  maybe_parent_dir                 [   0.00126] Also searching C:\Users\Leonardo\Documents\Visual Studio 11\Projects\Projeto Final\
display  D   display_settings.c:357  _al_score_display_settings       [   0.04230] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04232] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04234] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04236] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04238] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04240] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04242] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04244] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04246] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04248] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04250] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04252] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04254] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04256] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04258] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04260] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04262] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04264] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04266] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04268] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04270] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04272] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04274] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04276] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04278] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04280] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04282] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.04284] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.04286] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04288] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04290] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04292] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04294] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04295] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04299] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.04301] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04303] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.04305] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.04307] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.04309] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.04311] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.04313] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.04315] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.04317] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04319] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.04320] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.04322] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.04324] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.04326] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.04328] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.04330] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.04332] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04334] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.04336] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.04338] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.04339] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.04341] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.04343] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.04345] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.04347] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04349] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.04351] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.04353] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.04355] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.04356] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.04358] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.04360] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.04362] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04364] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.04366] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.04368] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.04370] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.04372] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.04374] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.04375] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.04377] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.04379] Score is : 609
